uid,n_AI_sentences,executive,company,call_date,AI-related sentences,conceptual (0-2),critical (0-2),applied (0-2),governance (0-2)
TR011,3,Daniel Boehle,"TTM Technologies, Inc.",2024-12-04,"•  We're a critical supplier to some of today's fastest-growing technologies such as advanced defense radar, cloud infrastructure, AI data centers, automobile technology, industrial automation and the Internet of Things.
•  On the bottom there, you see the data -- the explosion of growth in data centers, hyperscalers, cloud computing, all the way up to generative AI.
•  So being -- this year really being driven by that aerospace and defense growth as well as the data center explosions with generative AI and the cloud computing and hyperscalers.",1,0,0,0
TR012,13,Jean Hu,"Advanced Micro Devices, Inc.",2023-12-07,"•  Yes, we had a very exciting day yesterday with our customers, partners, ecosystem, it's actually a very important milestone and the inflection point for AMD to be a strong player in AI computer space.
•  I think we announced during yesterday, open AI is going to include MI300X for their Triton 3.0 release very soon.
•  And then third thing on networking side, we had a panel from Arista, Broadcom and Cisco to really talk about the ecosystem, how we work with the Ethernet and actually Ethernet consulting, everybody is working on the ecosystem to make sure the Generative AI adoption, the large clusters we can use to provide the best TCO.
•  AMD actually was the first to include AI engine in the PC with the Ryzen 7000 series.
•  We actually shipped millions of units and we announced the next-generation product, which will include AI engine.
•  The thing about us is we think about the portfolio, we think about end-to-end AI.
•  I think the generative AI market is so different from what we have seen in the past.
•  If you just look at how fast the development of all the framework -- AI framework, the library, the compilers and the models during the last 12 months is tremendous.
•  So a lot of people are writing the model on the AI framework.
•  And then second half and later on, really you're right, is to your point that generative AI, the CapEx need to prioritize AI spending definitely crowding out some of the silver spending.
•  So our view is the super market is going to come back, is going to serve the basic traditional workload versus the incremental AI need going forward.
•  I will say is, as we announced yesterday, it's exciting in the long run with AI PC, because eventually, a lot of AI work needs to be done at the device level.
•  I think probably not in 2024, but definitely 2025, we'll see tremendous momentum from AI PC that will help the replacement cycle.",2,0,1,0
TR013,5,Arthur Kaindl,Siemens Healthineers AG,2023-12-07,"•  We can also automatically read these images through our AI-Rad Companion chest CT.
•  The RapidArc dynamic is, for instance, an intelligent technology where we are applying AI-enabled software together with some modifications on the hardware side to basically do a treatment in one rotation of the beam or the C-arm.
•  And on our digitally-enabled clinical services, we can combine AI enablement on the auto contouring but also in the automatic treatment reporting and provide much more efficiently such services.
•  I'll give you one example, and it's actually a combination of, for instance, the AI enablement.
•  So there's a couple of aspects where an AI enablement, for instance, can help here as well.",1,0,1,0
TR014,4,John Scott,AoFrio Limited,2025-12-03,"•  There's this AI revolution going on.
•  But quite obviously, with the advent of AI and sort of single pane of glass and all of that stuff, this will go.
•  We talk about AI or Data as a Service as a concept.
•  The point in that is this AI revolution is so real, like one of my hustles, we've got 10 kids coming, 10, 19-year-old graduates.",1,0,0,0
TR015,3,Peng Shen,Waterdrop Inc.,2024-03-26,"•  For R&D, as a technology-driven company, we maintained substantial investment in R&D and applied for more than 10 AI large language model, LLM patents.
•  In the fourth quarter, our first development in LLM [indiscernible] completed [indiscernible] its application to intermodal cases, which brought efficiency improvements throughout the entire insurance services.
•  As for technology, we will accelerate technological environment by enhancing our AI capability and with core technological mode, which will support long-term development based on nearly 8 years of the business accumulation, our self-developed LLM [indiscernible] has significantly improved internal efficiency and with a further [indiscernible].",1,0,1,0
TR016,3,Michael Verdeschi,The Charles Schwab Corporation,2026-01-21,"•  Select examples for 2026 include investing in branches, adding more financial consultants and wealth advisers, advertising and marketing, expanding our digital asset offering to include spot crypto trading and incorporating more AI across the firm, particularly within our service and technology organizations.
•  In AI, we're already seeing efficiencies where we've invested in having our client-facing reps use AI.
•  We want to continue to roll out AI, especially in our technology organization and continued in our service areas.",0,0,1,0
TR017,7,Gregory Bentley,"Bentley Systems, Incorporated",2023-11-15,"•  And I might say generative AI is increasing the appetite to understand that you can substitute and improve work environment and by the way, help attract people to the occupation by reducing the routine and boring aspect of the job.
•  But AI loves doing that.
•  So they did 3 kinds of sophisticated AI in combination just to show that it's possible to rank and nominate and prioritize and parameterize how you use an existing design for your next project.
•  So my brother Keith, our Chief Technology Officer, was telling me in his use of GitHub Copilot for coding, he loved it so much.
•  So we've committed to our users that we will make the most of their existing data in project-wise, an opportunity for us to monetize, increase the use of project-wise and increase it to all projects but it will only be used for that firm's own -- to use our Copilot to improve their own projects themselves.
•  So we're pretty well prepared to be virtual, but there's still a learning curve ahead on -- and it's certainly thinking of going digital and generative AI and so forth, it can really benefit a global software company to be able to work virtually improve our colleagues' personal lines at the same time as our work lives.
•  And when we talk about these long-term opportunities such as that we've been talking about with digital twins and AI, we have to be sure to balance enough of our investment out into multiple horizons into the future.",1,1,1,0
TR018,12,Samuel Wilson,"8x8, Inc.",2024-01-31,"•  We are harnessing the power of AI to empower our customers to deliver better experiences to their customers.
•  Through a combination of cutting-edge AI solutions, platform-level contact center components and both native and third-party data, we will be able to offer built-for-purpose experiences for CX professionals outside the contact center.
•  On the CCaaS side, we have included improved AI-based call summaries for improved speech analytics, expanded omnichannel capabilities and enhancements to our agent and supervisor workspaces and more.
•  Customers like Walsall Housing Group in the U.K. and [ Teradata ] are implementing 8x8 solutions to take advantage of our seamless integration with [ Teams ], our global presence, in our unified UCaaS and CCaaS capabilities, including AI-driven digital self-service.
•  I would be remiss if I didn't talk about AI.
•  AI permeates our solutions.
•  Our approach to AI integration is two-pronged and is intentionally designed to give customers the flexibility to adapt as the market evolves.
•  First, we allow customers to reap the benefits of AI for common use cases, with native AI-powered features built into the platform.
•  Second, we enable a deep native-like integrations with third-party AI tools built for specific needs, including our curated technology partner ecosystem.
•  Our customers can adopt AI in their own timeline, with the flexibility to choose the best-in-breed solutions for their needs, and we can leverage the massive investments made by the venture capital community and startups focused on AI-based products through our technology ecosystem.
•  For example, Awaken Intelligence, an inaugural SellWith8 partner, offers an integration with the 8x8 Contact Center that leverages our persistent, cross-platform data to provide real-time agent guidance and AI-supported assistance.
•  The problem with that, and this was the feedback we got from customers, is -- the problem with that is you can't really use an ecosystem because it's not really designed to have [ thoughts ] in front of it and handovers, et cetera, can't get analytics, can't get AI technologies, can't get a bunch of things that are contact center functions in this hybrid type of use case.",1,1,1,0
TR019,17,Megan Strachan,"Walker & Dunlop, Inc.",2026-03-10,"•  And I joined the firm via the acquisition of GeoPhy that was Europe's leading AI scale-up at the time back in 2022.
•  And long before generative AI became a top headline, I was building predictive machine learning solutions for commercial real estate.
•  It's very much both how we operate the business more effectively every single day, but it's also our quiet long-term strategic advantage, especially as AI raises the bar for insight, compliance and client experience.
•  This allows us to then layer AI on top of that and spot unusual anomalies or risks much earlier and much more easily.
•  And as we further layer AI into this experience, we're going to shift from not just effectively and efficiently responding to our borrowers' needs and asks, but actually proactively predicting those and anticipating them.
•  But to understand how that interface with our client might evolve in the future, we need to talk about AI.
•  We all know AI is dominating the headlines, and many markets are really pricing that in as though it's going to immediately collapse the economics of knowledge work.
•  AI and commercial real estate, we believe, will really unfold over 2 curves that will unfold at a different rate.
•  So how can we drive efficiencies via AI and automation?
•  So we're adopting AI within Walker & Dunlop.
•  So not AI replacing brokers, but AI reshaping the value chain, reshaping where those capital decisions begin.
•  As our clients increasingly adopt AI systems and AI agents to potentially compare, search, evaluate financing options, capital decisions, we need to ensure that we are showing up in front of that system, in front of that agent in that comparison set.
•  But I do think it's important to temper a lot of what we're seeing and the media, I think, misses the distinction between AI capability and how that diffuses into an established industry.
•  AI is advancing extremely quickly.
•  Those characteristics will slow the rate at which AI will change our industry.
•  And that is why our strategy for technology is not just about bolting on AI solutions to our existing workflows, but it's much more about deploying this operating system where we can really reimagine those workflows with AI from the start.
•  And that brings us to the intelligent core for data and AI compound, which really sits behind and powers this WD Suite experience that you see.",2,1,1,1
TR020,7,Miranda Collard,Teleperformance SE,2025-06-18,"•  So I have the distinct pleasure of covering for everybody today a couple of pillars that Thomas mentioned earlier, which is our global business processes, the core growth with AI as well as the verticalization.
•  First and foremost is the AI and the humans.
•  They're just being met differently with the wave of AI and all the rich architecture you heard from my colleagues, Anish and Akash.
•  And then last but not least, AI is driving demand for that integrated customer experience platforms.
•  First, the first pillar, and Thomas shared, is to grow the core enabled by AI.
•  So embedding that AI across all of our core services.
•  We can now expand inside of those verticalization that -- and you'll hear some examples of that, we build those industry-specific end-to-end AI-enabled offerings based off the very deep expertise that we have in our leadership teams.",1,0,1,0
TR021,12,Liang Zhu,Tencent Music Entertainment Group,2026-03-17,"•  It's also worthwhile to mention that this year's new music report campaign added handwriting letters and AI-generated voice messengers from artists further strengthening users' engagement and encouraging widespread sharing as our expanding user cases result in broadened audience reach.
•  We remain focused on harnessing AI to import music creation and elevate user experiences.
•  First, our AI tools are interested in reaching content supply.
•  Today, over 10 million users and more than 150,000 professional creators use our one-stop AI music production platform.
•  Features such as track refinement and AI-generated vocal demos accelerate music creation.
•  In addition, AI auto-capture chorus highlights and generated video clicks based on lyrics, delivering more engaging audio video experiences through quick listen mode.
•  Third, we have integrated AI across the end-to-end music consumption journey, powered by Yuanbao, QQ Music's AI agent has involved into a system, allowing users to handle complex multi-step task using natural language comments.
•  For example, beyond music discovery, the AI agent provides direct access to digital albums and merchandise purchase, creating a intent to action experience that have driven conversion.
•  Number one, I think that in nature, AI is already changing the nature of the music industry.
•  Well, we have to know the short-form video side have already given a big boost to these AI generated music.
•  So if you look at this sector, the AI generated content are very original.
•  In the long run, the re-sing by AI will experience a rapid development.",1,0,2,0
TR022,3,Erik Ekudden,Telefonaktiebolaget LM Ericsson (publ),2022-12-15,"•  It's about the capability of the network, handling the gigabytes per second and per month in a more efficient way, but it's also about automation, using AI in everything we do.
•  And if you know anything about AI and learning systems, this will just continue to improve over the coming years because the operational data that the network collects and the NOK is using will actually improve this over time.
•  But this is also joining about high performance and automation and AI.",1,0,1,0
TR023,9,Hideki Tomita,DIP Corporation,2024-10-15,"•  It is dip AI, which is something we've been discussing from before.
•  And starting from October 25, we are going to make a full-fledged start and we're going to start holding a large-scale promotion to raise the awareness of this dip AI.
•  If you have never had opportunity to use dip AI before, please, please, let it try.
•  Even senior people or even mother who are raising kids, you can talk to this dip AI and get consultation what kind of jobs are available for you.
•  He discussed about AI.
•  Next is about leveraging AI technologies.
•  We're going to ask AI to work 500,000 hours equivalent on behalf of our employees.
•  We are leveraging ChatGPT and other AI tools.
•  And we are also developing our own AI tools.",0,0,1,0
